index,state_id,store_id,cat_id,dept_id,item_id,price,start_day,end_day,price_prev,price_increase_ind
0,6,0,0,0,1,1.97,1,273,,0
1,6,0,0,0,1,2.24,274,1806,1.97,1
2,6,0,0,0,1,2.48,1807,1969,2.24,1
3,6,0,0,0,7,1.97,1,1302,,0
4,6,0,0,0,7,2.0,1303,1969,1.97,1
5,6,0,0,0,11,1.97,1,1302,,0
6,6,0,0,0,11,2.0,1303,1969,1.97,1
7,6,0,0,0,14,7.97,1,189,,0
9,6,0,0,0,14,8.98,190,1337,7.97,1
8,6,0,0,0,14,7.98,1107,1120,,0
11,6,0,0,0,14,9.98,1338,1969,8.98,1
10,6,0,0,0,14,9.94,1632,1939,,0
22,6,0,0,0,16,6.08,183,483,,0
12,6,0,0,0,16,5.09,484,525,6.08,0
13,6,0,0,0,16,5.16,526,833,5.09,1
14,6,0,0,0,16,5.23,834,896,5.16,1
15,6,0,0,0,16,5.3,897,1064,5.23,1
16,6,0,0,0,16,5.33,1065,1211,5.3,1
17,6,0,0,0,16,5.4,1212,1400,5.33,1
18,6,0,0,0,16,5.48,1401,1582,5.4,1
19,6,0,0,0,16,5.56,1583,1771,5.48,1
21,6,0,0,0,16,5.64,1772,1953,5.56,1
20,6,0,0,0,16,5.57,1954,1969,5.64,0
23,6,0,0,1,20,8.96,1107,1969,,0
24,6,0,0,1,30,3.25,1,420,,0
26,6,0,0,1,30,3.78,421,959,3.25,1
25,6,0,0,1,30,3.48,470,644,,0
27,6,0,0,1,30,3.88,960,1092,3.78,1
28,6,0,0,1,30,3.97,1093,1969,3.88,1
29,6,0,0,1,30,3.98,1261,1442,,0
31,6,0,0,1,31,1.58,1177,1969,,0
30,6,0,0,1,31,1.25,1289,1330,,0
32,6,0,0,1,37,0.64,1,168,,0
33,6,0,0,1,37,0.72,169,427,0.64,1
34,6,0,0,1,37,0.88,428,1281,0.72,1
35,6,0,0,1,37,0.94,1282,1969,0.88,1
36,6,0,0,1,37,0.98,1856,1869,,0
39,6,0,0,2,44,2.98,1030,1969,,0
40,6,0,0,2,44,3.28,1149,1281,,0
37,6,0,0,2,44,2.5,1331,1463,,0
38,6,0,0,2,44,2.88,1695,1722,,0
42,6,0,0,2,83,3.98,771,1757,,0
41,6,0,0,2,83,3.64,1758,1969,3.98,0
43,6,0,0,2,89,2.98,1296,1969,,0
44,6,0,0,2,91,1.78,365,532,,0
45,6,0,0,2,91,1.88,533,1969,1.78,1
46,6,0,1,3,95,7.68,386,1969,,0
47,6,0,1,3,98,4.88,470,1969,,0
48,6,0,1,3,104,4.48,386,1969,,0
49,6,0,1,3,109,8.98,1142,1969,,0
50,6,0,2,5,138,11.97,1,1969,,0
51,6,0,2,5,138,12.47,169,602,,0
53,6,0,2,5,142,15.78,169,819,,0
54,6,0,2,5,142,17.97,820,1969,15.78,1
52,6,0,2,5,142,15.0,1709,1715,,0
56,6,0,2,5,143,2.76,386,1969,,0
55,6,0,2,5,143,2.72,1261,1799,,0
57,6,0,2,5,153,5.47,379,427,,0
60,6,0,2,5,153,6.64,428,966,5.47,1
59,6,0,2,5,153,5.98,967,1841,6.64,0
58,6,0,2,5,153,5.88,1842,1969,5.98,0
62,6,0,2,5,159,10.47,43,196,,0
63,6,0,2,5,159,10.97,197,882,10.47,1
61,6,0,2,5,159,9.97,883,1969,10.97,0
64,6,0,2,6,162,5.48,8,1969,,0
65,6,0,2,6,167,7.24,988,1925,,0
