index,item_id,dept_id,cat_id,store_id,state_id,sales,day
0,164,6,2,5,48,1,1
1,11,0,0,0,6,13,1
2,124,4,1,5,48,1,1
3,107,3,1,6,48,3,1
4,131,5,2,3,6,1,1
5,75,2,0,1,6,6,1
6,63,2,0,6,48,2,1
7,160,5,2,9,55,1,1
8,37,1,0,0,6,30,1
9,23,1,0,2,6,1,1
10,7,0,0,0,6,2,1
11,47,2,0,8,55,1,1
12,85,2,0,3,6,3,1
13,165,6,2,2,6,1,1
14,77,2,0,2,6,7,1
15,155,5,2,3,6,1,1
16,5,0,0,2,6,10,1
17,113,3,1,4,48,1,1
18,145,5,2,4,48,4,1
19,73,2,0,5,48,7,1
20,140,5,2,1,6,2,1
21,138,5,2,0,6,1,1
22,51,2,0,8,55,2,1
23,55,2,0,6,48,2,1
24,149,5,2,7,55,3,1
25,40,2,0,6,48,1,1
26,110,3,1,6,48,1,1
27,72,2,0,2,6,11,1
28,32,1,0,6,48,5,1
29,52,2,0,4,48,2,1
30,88,2,0,9,55,6,1
31,155,5,2,2,6,4,1
32,0,0,0,2,6,1,1
33,177,6,2,5,48,1,1
34,179,6,2,7,55,4,1
35,50,2,0,7,55,2,1
36,60,2,0,2,6,1,2
37,164,6,2,5,48,1,2
38,11,0,0,0,6,19,2
39,124,4,1,5,48,2,2
40,107,3,1,6,48,12,2
41,133,5,2,8,55,2,2
42,75,2,0,1,6,23,2
43,166,6,2,3,6,2,2
44,37,1,0,0,6,45,2
45,7,0,0,0,6,1,2
46,85,2,0,3,6,2,2
47,165,6,2,2,6,1,2
48,77,2,0,2,6,12,2
49,155,5,2,3,6,1,2
50,168,6,2,2,6,1,2
51,5,0,0,2,6,6,2
52,145,5,2,4,48,6,2
53,174,6,2,7,55,1,2
54,73,2,0,5,48,2,2
55,69,2,0,5,48,1,2
56,140,5,2,1,6,1,2
57,51,2,0,8,55,5,2
58,30,1,0,0,6,1,2
59,149,5,2,7,55,4,2
60,40,2,0,6,48,2,2
61,72,2,0,2,6,8,2
62,32,1,0,6,48,6,2
63,52,2,0,4,48,1,2
64,88,2,0,9,55,8,2
65,155,5,2,2,6,2,2
66,53,2,0,3,6,1,2
67,179,6,2,7,55,6,2
68,50,2,0,7,55,4,2
69,60,2,0,2,6,86,3
70,11,0,0,0,6,14,3
71,124,4,1,5,48,2,3
72,107,3,1,6,48,2,3
73,131,5,2,3,6,1,3
74,133,5,2,8,55,1,3
75,75,2,0,1,6,11,3
76,160,5,2,9,55,1,3
77,37,1,0,0,6,14,3
78,23,1,0,2,6,1,3
79,7,0,0,0,6,3,3
80,165,6,2,2,6,2,3
81,77,2,0,2,6,3,3
82,114,3,1,1,6,1,3
83,168,6,2,2,6,2,3
84,84,2,0,2,6,1,3
85,5,0,0,2,6,15,3
86,170,6,2,7,55,1,3
87,145,5,2,4,48,3,3
88,174,6,2,7,55,1,3
89,73,2,0,5,48,4,3
90,170,6,2,4,48,1,3
91,171,6,2,8,55,1,3
92,140,5,2,1,6,1,3
93,51,2,0,8,55,2,3
94,55,2,0,6,48,1,3
95,149,5,2,7,55,3,3
96,10,0,0,5,48,1,3
97,40,2,0,6,48,3,3
98,72,2,0,2,6,10,3
99,32,1,0,6,48,7,3
100,88,2,0,9,55,6,3
101,155,5,2,2,6,1,3
102,0,0,0,2,6,1,3
103,177,6,2,5,48,1,3
104,1,0,0,0,6,3,3
105,6,0,0,5,48,1,3
106,60,2,0,2,6,35,4
107,164,6,2,5,48,1,4
108,11,0,0,0,6,1,4
109,133,5,2,8,55,1,4
110,75,2,0,1,6,11,4
111,63,2,0,6,48,5,4
112,160,5,2,9,55,3,4
113,37,1,0,0,6,52,4
114,7,0,0,0,6,1,4
115,85,2,0,3,6,6,4
116,77,2,0,2,6,10,4
117,5,0,0,2,6,4,4
118,145,5,2,4,48,1,4
119,73,2,0,5,48,3,4
120,138,5,2,0,6,1,4
121,51,2,0,8,55,4,4
122,30,1,0,0,6,2,4
123,55,2,0,6,48,1,4
124,149,5,2,7,55,1,4
125,10,0,0,5,48,1,4
126,40,2,0,6,48,3,4
127,92,3,1,7,55,1,4
128,72,2,0,2,6,11,4
129,32,1,0,6,48,2,4
130,52,2,0,4,48,1,4
131,0,0,0,2,6,2,4
132,177,6,2,5,48,1,4
133,130,5,2,1,6,4,4
134,1,0,0,0,6,1,4
135,60,2,0,2,6,23,5
136,164,6,2,5,48,1,5
137,75,2,0,1,6,13,5
138,166,6,2,3,6,1,5
139,37,1,0,0,6,27,5
140,23,1,0,2,6,1,5
141,47,2,0,8,55,1,5
142,85,2,0,3,6,3,5
143,77,2,0,2,6,6,5
144,155,5,2,3,6,1,5
145,168,6,2,2,6,1,5
146,5,0,0,2,6,5,5
147,145,5,2,4,48,2,5
148,73,2,0,5,48,2,5
149,140,5,2,1,6,1,5
150,138,5,2,0,6,3,5
151,51,2,0,8,55,8,5
152,55,2,0,6,48,4,5
153,10,0,0,5,48,2,5
154,40,2,0,6,48,1,5
155,72,2,0,2,6,7,5
156,32,1,0,6,48,7,5
157,88,2,0,9,55,2,5
158,155,5,2,2,6,1,5
159,130,5,2,1,6,5,5
160,1,0,0,0,6,7,5
161,6,0,0,5,48,2,5
162,60,2,0,2,6,44,6
163,11,0,0,0,6,1,6
164,107,3,1,6,48,20,6
165,75,2,0,1,6,7,6
166,63,2,0,6,48,2,6
167,160,5,2,9,55,1,6
168,37,1,0,0,6,29,6
169,7,0,0,0,6,3,6
170,47,2,0,8,55,1,6
171,85,2,0,3,6,1,6
172,165,6,2,2,6,1,6
173,5,0,0,2,6,12,6
174,145,5,2,4,48,4,6
175,73,2,0,5,48,2,6
176,171,6,2,8,55,2,6
177,140,5,2,1,6,1,6
178,51,2,0,8,55,5,6
179,55,2,0,6,48,3,6
180,149,5,2,7,55,3,6
181,10,0,0,5,48,1,6
182,40,2,0,6,48,1,6
183,72,2,0,2,6,8,6
184,32,1,0,6,48,10,6
185,88,2,0,9,55,6,6
186,130,5,2,1,6,4,6
187,1,0,0,0,6,2,6
188,6,0,0,5,48,4,6
189,173,6,2,4,48,1,6
190,60,2,0,2,6,5,7
191,11,0,0,0,6,9,7
192,90,2,0,8,55,1,7
193,133,5,2,8,55,1,7
194,75,2,0,1,6,4,7
195,161,6,2,5,48,1,7
196,160,5,2,9,55,2,7
197,166,6,2,3,6,1,7
198,37,1,0,0,6,24,7
199,7,0,0,0,6,1,7
200,128,5,2,4,48,1,7
