List Price,Sale Price,Brand,category_level1,ecomm_id
19.99,19.99,In Style Eyes,Health,0
19.99,19.99,In Style Eyes,Health,1
19.99,19.99,In Style Eyes,Health,2
19.99,19.99,In Style Eyes,Health,3
32.51,32.51,CHOSEN SUPPLIES,Household Essentials,7
10.59,10.59,Caroline's Treasures,Office,8
680.0,419.99,Ironwood,Home,9
56.0,56.0,Classique,Clothing,10
46.99,14.29,Ames Walker,Clothing,11
46.99,14.29,Ames Walker,Clothing,12
46.99,14.29,Ames Walker,Clothing,14
46.99,14.29,Ames Walker,Clothing,15
46.99,14.29,Ames Walker,Clothing,16
46.99,14.29,Ames Walker,Clothing,17
46.99,14.29,Ames Walker,Clothing,18
46.99,14.29,Ames Walker,Clothing,19
46.99,14.29,Ames Walker,Clothing,20
46.99,14.29,Ames Walker,Clothing,21
46.99,14.29,Ames Walker,Clothing,22
46.99,14.29,Ames Walker,Clothing,23
46.99,14.29,Ames Walker,Clothing,24
46.99,14.29,Ames Walker,Clothing,25
46.99,14.29,Ames Walker,Clothing,26
46.99,14.29,Ames Walker,Clothing,27
46.99,14.29,Ames Walker,Clothing,28
46.99,14.29,Ames Walker,Clothing,29
46.99,14.29,Ames Walker,Clothing,30
46.99,14.29,Ames Walker,Clothing,31
46.99,14.29,Ames Walker,Clothing,32
46.99,14.29,Ames Walker,Clothing,33
46.99,14.29,Ames Walker,Clothing,34
46.99,14.29,Ames Walker,Clothing,35
46.99,14.29,Ames Walker,Clothing,36
46.99,14.29,Ames Walker,Clothing,37
46.99,14.29,Ames Walker,Clothing,38
46.99,14.29,Ames Walker,Clothing,39
62.96,62.96,Isavela,,40
783.0,409.99,Darby Home Co,Office,41
565.0,191.99,Darby Home Co,Office,42
656.0,282.99,Darby Home Co,Office,43
550.0,176.99,Darby Home Co,Office,44
749.0,375.99,Darby Home Co,Office,45
600.0,226.99,Darby Home Co,Office,46
580.0,206.99,Darby Home Co,Office,47
813.0,439.99,Darby Home Co,Office,48
683.0,309.99,Darby Home Co,Office,49
13.99,13.99,Maybelline,Beauty,50
219.95,219.95,,Baby,51
51.9,51.9,CHOSEN SUPPLIES,Household Essentials,52
32.5,32.5,CHOSEN SUPPLIES,Household Essentials,53
39.74,39.74,Backpackers Pantry,Sports & Outdoors,54
10.95,10.95,Coffee Beanery,Food,55
10.64,10.64,212 Vip,Beauty,59
40.3,40.3,Business Essentials,Office,60
41.69,41.69,Business Essentials,Office,62
32.21,32.21,Business Essentials,Office,64
72.71,72.71,Business Essentials,Office,65
53.06,53.06,Business Essentials,Office,69
33.55,33.55,Business Essentials,Office,72
32.65,32.65,Business Essentials,Office,74
57.07,57.07,Business Essentials,Office,75
43.84,43.84,Business Essentials,Office,76
21.18,21.18,Business Essentials,Office,77
49.21,49.21,Business Essentials,Office,79
10.6,10.6,Business Essentials,Office,80
30.94,30.94,Business Essentials,Office,81
44.59,44.59,Business Essentials,Office,83
65.09,65.09,Business Essentials,Office,84
40.5,40.5,Business Essentials,Office,85
47.45,47.45,Business Essentials,Office,87
39.79,39.79,Business Essentials,Office,89
28.34,28.34,Business Essentials,Office,90
30.01,30.01,Business Essentials,Office,91
26.96,26.96,Business Essentials,Office,98
60.91,60.91,Business Essentials,Office,100
28.45,28.45,Business Essentials,Office,101
31.4,31.4,Business Essentials,Office,102
33.56,33.56,Business Essentials,Office,103
45.34,45.34,Business Essentials,Office,105
31.16,31.16,Business Essentials,Office,106
9.66,9.66,Business Essentials,Office,107
9.85,9.85,Business Essentials,Office,108
37.33,37.33,Business Essentials,Office,109
47.05,47.05,Business Essentials,Office,110
34.6,34.6,Business Essentials,Office,111
29.42,29.42,Business Essentials,Office,113
39.22,39.22,Business Essentials,Office,114
35.8,35.8,Business Essentials,Office,115
39.17,39.17,Business Essentials,Office,116
47.89,47.89,Business Essentials,Office,118
32.04,32.04,Business Essentials,Office,120
31.37,31.37,Business Essentials,Office,121
30.61,30.61,Business Essentials,Office,122
37.91,37.91,Business Essentials,Office,127
29.76,29.76,Business Essentials,Office,128
10.9,10.9,Business Essentials,Office,133
37.69,37.69,Business Essentials,Office,135
44.48,44.48,Business Essentials,Office,138
26.29,26.29,Business Essentials,Office,140
56.45,56.45,Business Essentials,Office,141
65.71,65.71,Business Essentials,Office,145
11.14,11.14,Business Essentials,Office,148
31.44,31.44,Business Essentials,Office,150
11.52,11.52,Business Essentials,Office,153
50.69,50.69,Business Essentials,Office,156
19.32,19.32,Business Essentials,Office,157
39.71,39.71,Business Essentials,Office,158
49.8,49.8,Business Essentials,Office,159
20.86,20.86,Business Essentials,Office,160
41.94,41.94,Business Essentials,Office,164
26.59,26.59,Business Essentials,Office,165
31.37,31.37,Business Essentials,Office,167
38.33,38.33,Business Essentials,Office,168
40.57,40.57,Business Essentials,Office,169
55.12,55.12,Business Essentials,Office,170
46.62,46.62,Business Essentials,Office,171
23.9,23.9,Business Essentials,Office,173
25.86,25.86,Business Essentials,Office,174
55.6,55.6,Business Essentials,Office,175
59.53,59.53,Business Essentials,Office,176
47.22,47.22,Business Essentials,Office,177
49.5,49.5,Business Essentials,Office,180
41.88,41.88,Business Essentials,Office,181
38.38,38.38,Business Essentials,Office,182
61.8,61.8,Business Essentials,Office,183
29.88,29.88,Business Essentials,Office,184
29.14,29.14,Business Essentials,Office,185
38.04,38.04,Business Essentials,Office,186
8.74,8.74,Business Essentials,Office,188
38.7,38.7,Business Essentials,Office,190
23.64,23.64,Business Essentials,Office,191
50.78,50.78,Business Essentials,Office,192
29.47,29.47,Business Essentials,Office,193
24.43,24.43,Business Essentials,Office,197
34.66,34.66,Business Essentials,Office,198
33.58,33.58,Business Essentials,Office,199
71.89,71.89,Business Essentials,Office,200
23.58,23.58,Business Essentials,Office,201
30.65,30.65,Business Essentials,Office,203
27.91,27.91,Business Essentials,Office,205
9.26,9.26,Business Essentials,Office,206
30.4,30.4,Business Essentials,Office,208
34.07,34.07,Business Essentials,Office,209
47.48,47.48,Business Essentials,Office,212
33.79,33.79,Business Essentials,Office,213
31.62,31.62,Business Essentials,Office,215
33.86,33.86,Business Essentials,Office,220
31.97,31.97,Business Essentials,Office,225
28.91,28.91,Business Essentials,Office,226
33.47,33.47,Business Essentials,Office,229
26.4,26.4,Business Essentials,Office,230
26.45,26.45,Business Essentials,Office,232
26.33,26.33,Business Essentials,Office,233
26.14,26.14,Business Essentials,Office,234
68.1,68.1,Business Essentials,Office,235
11.36,11.36,Business Essentials,Office,236
34.14,34.14,Business Essentials,Office,239
31.99,31.99,Business Essentials,Office,240
19.03,19.03,Business Essentials,Office,241
34.5,34.5,Business Essentials,Office,245
26.09,26.09,Business Essentials,Office,246
79.06,79.06,Business Essentials,Office,247
23.56,23.56,Business Essentials,Office,248
22.78,22.78,Business Essentials,Office,249
47.89,47.89,Business Essentials,Office,253
34.28,34.28,Business Essentials,Office,254
10.4,10.4,Business Essentials,Office,255
43.5,43.5,Business Essentials,Office,256
24.64,24.64,Business Essentials,Office,258
32.26,32.26,Business Essentials,Office,259
43.01,43.01,Business Essentials,Office,260
43.34,43.34,Business Essentials,Office,261
26.94,26.94,Business Essentials,Office,262
35.11,35.11,Business Essentials,Office,264
30.48,30.48,Business Essentials,Office,267
9.52,9.52,Business Essentials,Office,268
28.63,28.63,Business Essentials,Office,269
29.59,29.59,Business Essentials,Office,270
110.63,110.63,Business Essentials,Office,271
42.47,42.47,Business Essentials,Office,272
37.19,37.19,Business Essentials,Office,274
48.65,48.65,Business Essentials,Office,276
9.0,9.0,Business Essentials,Office,277
28.5,28.5,Business Essentials,Office,279
35.21,35.21,Business Essentials,Office,280
36.46,36.46,Business Essentials,Office,283
56.38,56.38,Business Essentials,Office,284
58.56,58.56,Business Essentials,Office,285
19.61,19.61,Business Essentials,Office,287
26.71,26.71,Business Essentials,Office,288
47.98,47.98,Business Essentials,Office,289
93.22,93.22,Business Essentials,Office,291
36.6,36.6,Business Essentials,Office,292
48.34,48.34,Business Essentials,Office,293
32.02,32.02,Business Essentials,Office,295
29.59,29.59,Business Essentials,Office,296
